date,keyword,store_rank_first_url,store_first_url,store_nb,fb_rank_first_url,fb_first_url,fb_nb,pinterest_rank_first_url,pinterest_first_url,pinterest_nb,instagram_rank_first_url,instagram_first_url,instagram_nb
20210112,Marine minederien,1.0,https://www.minederien.net/contact,1.0,5.0,https://www.facebook.com/Mine-de-rien-101489634842378/about/,1.0,,,,,,
20210112,Marine mine de rien,1.0,https://www.minederien.net/contact,1.0,4.0,https://www.facebook.com/Mine-de-rien-101489634842378/about/,1.0,,,,,,
20210112,minederien,10.0,https://www.minederien.net/,1.0,,,,,,,,,
20210112,mine de rien,,,,,,,,,,,,
20210112,mine de rien déco,1.0,https://www.minederien.net/,2.0,,,,,,,,,
20210112,mine de rien luminaires,,,,,,,11,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien luminaire,,,,,,,2,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien lampes,4,https://www.minederien.net/,1,3,https://www.facebook.com/101489634842378/posts/nouvelle-lampe-%C3%A0-poser-le-parfait-eclairage-disponible-sur-le-site-wwwminederien/120743696250305/,1,1,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien appliques,4,https://www.minederien.net/product-page/applique-lumineuse-3,2,2,https://www.facebook.com/Mine-de-rien-101489634842378/videos/applique-lumineuse/1697487663763039/,2,1,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien cadres,,,,,,,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien suspensions,5,https://www.minederien.net/,1,1,https://www.facebook.com/101489634842378/posts/suspension-transparente-pi%C3%A8ces-de-vaisselle-chin%C3%A9es-dabord-perc%C3%A9es-ensuite-puis-/152589493065725/,2,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien bougeoirs,3,https://www.minederien.net/,1,1,https://www.facebook.com/101489634842378/posts/deux-nouveaux-bougeoirs-disponibles-dans-la-boutique-de-mine-de-rien-aujourdhui-/182914540033220/,2,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien miroirs,5,https://www.minederien.net/,1,1,https://www.facebook.com/permalink.php?id=101489634842378&story_fbid=190042492653758,1,13,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien assiettes,12,https://www.minederien.net/product-page/applique-lumineuse-3,1,1,https://www.facebook.com/permalink.php?id=101489634842378&story_fbid=143859480605393,2,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien bocaux,,,,1,https://www.facebook.com/101489634842378/photos/pcb.128155958842412/128157852175556/?type=3&__tn__=HH-R&eid=ARCYnkZPPdQBl6OcQJ0RWO6fb7QEtOCXkLAvxaTwDKIve6uA3hvZ67yFGrzzmY1oYbevI-nKHTfTB7Vs,1,2,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien présentoirs,2,https://www.minederien.net/,1,,,,,,,,,
20210112,mine de rien serviteurs,,,,,,,8,https://www.pinterest.fr/derien3919/,1,,,
20210112,mine de rien récup,,,,,,,,,,,,
20210112,mine de rien recup,,,,,,,,,,,,
20210112,mine de rien réemploi,2,https://www.minederien.net/,1,4,https://www.facebook.com/Mine-de-rien-101489634842378/,2,,,,,,
20210112,mine de rien créatrice,,,,,,,,,,,,
20210112,minederien,10,https://www.minederien.net/,1,,,,,,,,,
20210112,minederien déco,1,https://www.minederien.net/,1,,,,,,,,,
20210112,minederien luminaires,5,https://www.minederien.net/,1,,,,,,,,,
20210112,minederien luminaire,6,https://www.minederien.net/,1,,,,3,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien lampes,2,https://www.minederien.net/,2,4,https://www.facebook.com/101489634842378/posts/nouvelle-lampe-%C3%A0-poser-le-parfait-eclairage-disponible-sur-le-site-wwwminederien/120743696250305/,2,6,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien appliques,1,https://www.minederien.net/product-page/applique-lumineuse-3,2,5,https://www.facebook.com/permalink.php?id=101489634842378&story_fbid=117746179883390,2,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien cadres,1,https://www.minederien.net/product-page/cadres-photos-x-3-1,2,3,https://www.facebook.com/101489634842378/posts/cadres-photo-de-nouveau-disponibles-sur-le-site-wwwminederiennet-2-versions-3-ou/132939871697354/,1,4,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien suspensions,1,https://www.minederien.net/product-page/suspension-1,2,3,https://www.facebook.com/101489634842378/posts/suspension-du-jour-bonjour-/201451294846211/,2,5,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien bougeoirs,3,https://www.minederien.net/product-page/bougeoir-5,2,1,https://www.facebook.com/101489634842378/posts/deux-nouveaux-bougeoirs-disponibles-dans-la-boutique-de-mine-de-rien-aujourdhui-/182914540033220/,2,6,https://www.pinterest.fr/derien3919/,1,,,
20210112,minederien miroirs,1,https://www.minederien.net/,2,4,https://www.facebook.com/permalink.php?id=101489634842378&story_fbid=190042492653758,1,5,https://www.pinterest.fr/derien3919/,1,,,
